序号,文件,相关度,相关度分值,职位,招聘主体,薪资,学历,招聘人数,专业,地区,更新时间,所属行业,公司性质,公司规模,技术关键词,同模板条数,JD指纹,详情页
1,01-新媒体运营-安徽研小航教育科技有限公司.md,直接相关,15,新媒体运营,安徽研小航教育科技有限公司,6k-11k,本科及以上,招聘 人数不限,新媒体运营 新闻传播 市场营销 广告,安徽省合肥市瑶海区,06-23 09:17,教育/培训/院校,民营企业,50-99人,,2,f68a9a22e5c1,https://www.ncss.cn/student/jobs/8WxFznoS6umi7H7jN1FcSp/detail.html
2,02-新媒体运营编辑文案编导-望子成龙教育科技有限公司.md,直接相关,8,新媒体运营/编辑/文案/编导,望子成龙教育科技有限公司,6k-8k,本科及以上,招聘 50人,专业不限,四川省成都市,07-27 09:51,教育/培训/院校,民营企业,1000-4999人,,2,abc885c013c8,https://www.ncss.cn/student/jobs/GMiShdjXuxnX1tajTmcp8L/detail.html
3,03-外贸业务员-外贸业务助理-翻译-外贸主管-外贸专员-跨境电商-深圳市高通电子有限公司.md,直接相关,7,外贸业务员-外贸业务助理-翻译-外贸主管-外贸专员-跨境电商运营专员助理-国际贸易员-英语-电子商务,深圳市高通电子有限公司,8k-30k,本科及以上,招聘 2人,英语 商务英语 翻译 英语语言文学 教育英语 科技英语 德语 西班牙语 葡萄牙语 俄语 法语 市场营销 电子商务 经济学 企业管理学 会计学,广东省深圳市宝安区,08-04 08:29,电子技术/半导体/集成电路,民营企业,100-499人,,2,647004b68a78,https://www.ncss.cn/student/jobs/QqRuAYNhrsFyjQQ9CDaUyV/detail.html
4,04-homebar市场营销-乐伴（江西）数字科技有限公司.md,直接相关,7,homebar市场营销,乐伴（江西）数字科技有限公司,5k-30k,不限,招聘 5人,专业不限,江西省南昌市,06-08 15:36,娱乐/体育/休闲,民营企业,1-49人,,2,c518fc71e9a2,https://www.ncss.cn/student/jobs/SusCLhHFF2nRTccWzubzF3/detail.html
5,05-浙江省市场专员-广东省珠海广弘医药进出口有限公司.md,直接相关,6,浙江省市场专员,广东省珠海广弘医药进出口有限公司,6k-12k,本科及以上,招聘 1人,医学、药学相关专业,浙江省杭州市市辖区,07-28 11:08,批发/零售,国有企业,100-499人,,2,79f59b78243c,https://www.ncss.cn/student/jobs/UNCdH5Sww6tvYb4mdmSamJ/detail.html
6,06-市场推广-云南华盛图书有限公司.md,直接相关,4,市场推广,云南华盛图书有限公司,4k-7k,本科及以上,招聘 4人,专业不限,云南省昆明市,07-23 14:20,批发/零售,民营企业,1-49人,,2,068b1e0127a4,https://www.ncss.cn/student/jobs/59hUNuu7qNrLfT3JpM82wb/detail.html
7,07-品牌推广专员（广州院校方向）-广州通益信息技术有限公司.md,直接相关,3,品牌推广专员（广州院校方向）,广州通益信息技术有限公司,4.5k-6k,专科及以上,招聘 5人,专业不限,广东省广州市天河区,07-30 10:06,计算机软件,民营企业,50-99人,,2,2e5dbf14958d,https://www.ncss.cn/student/jobs/2gDTEJf3JSXZE9cKDtkr39/detail.html
8,08-内容营销实习生-上海贝瑞飞科技有限公司.md,直接相关,23,内容营销实习生,上海贝瑞飞科技有限公司,3k-9k,本科及以上,招聘 2人,专业不限,上海市浦东新区,07-30 11:15,计算机服务（系统/数据/维护/安全）,民营企业,1-49人,,1,95a71b4b8887,https://www.ncss.cn/student/jobs/NCUKnXBnxHeEiRac7KJt1f/detail.html
9,09-新媒体运营及视频剪辑岗-北京科海国际会展服务有限公司.md,直接相关,18,新媒体运营及视频剪辑岗,北京科海国际会展服务有限公司,4k-7k,专科及以上,招聘 5人,新媒体运营 市场营销 新闻传播 中文,北京市朝阳区,07-29 17:38,广告/公关/会展,民营企业,1-49人,,1,c04ca2fed706,https://www.ncss.cn/student/jobs/MyX3xUPsFfbh9eXQpP7XQZ/detail.html
10,10-新媒体运营专员-济南兰普电气有限公司.md,直接相关,18,新媒体运营专员,济南兰普电气有限公司,3k-12k,专科及以上,招聘 2人,媒体传播相关专业,山东省济南市天桥区,07-30 15:56,电气/电力/水利,民营企业,1-49人,,1,c1a403c8db75,https://www.ncss.cn/student/jobs/NWUyzXyAVM7nabpL9y6EnT/detail.html
11,11-短视频获客运营专员（央国企就业培训方向）-北京京成职达文化科技有限公司.md,直接相关,17,短视频获客运营专员（央国企就业培训方向）,北京京成职达文化科技有限公司,8k-15k,不限,招聘 3人,专业不限,北京市朝阳区,07-13 16:13,教育/培训/院校,民营企业,50-99人,,1,341b9f79277e,https://www.ncss.cn/student/jobs/JxiBHew9p41tnaSUoRb82i/detail.html
12,12-媒体运营（管培生）-陕西圆梦工场科技有限公司.md,直接相关,17,媒体运营（管培生）,陕西圆梦工场科技有限公司,6k-8k,本科及以上,招聘 3人,网络与新媒体 传播学 / 新闻学 广告学 广播电视编导,全国,07-20 15:51,计算机软件,民营企业,100-499人,,1,7a0b2f082f1e,https://www.ncss.cn/student/jobs/H5J7ouVzuxGyrzBd29de7B/detail.html
13,13-新媒体运营专员-中环测联（北京）科技有限公司.md,直接相关,17,新媒体运营专员,中环测联（北京）科技有限公司,5k-7k,本科及以上,招聘 1人,专业不限,北京市朝阳区,07-31 10:48,环保,民营企业,1-49人,,1,edc1cbda262d,https://www.ncss.cn/student/jobs/YRDBUakpXFN22dM2utbMmB/detail.html
14,14-新媒体运营-湖北阳光文化教育咨询有限公司.md,直接相关,16,新媒体运营,湖北阳光文化教育咨询有限公司,7k-9k,本科及以上,招聘 2人,教育类 新媒体相关,湖北省武汉市洪山区,07-30 11:07,教育/培训/院校,民营企业,50-99人,,1,4c8dc34fb891,https://www.ncss.cn/student/jobs/LG9JCfcvAR4FT2mYVpwJQP/detail.html
15,15-新媒体运营岗-上海汇盟信息科技有限公司.md,直接相关,16,新媒体运营岗,上海汇盟信息科技有限公司,8k-10k,专科及以上,招聘 5人,不限,上海市徐汇区,07-16 09:39,互联网/电子商务,民营企业,100-499人,,1,58b2079fee7a,https://www.ncss.cn/student/jobs/95UYANmxJvvKMvJh3zxuP/detail.html
16,16-管培生（平面设计文案策划视频剪辑电子商务方向）-泰昊乐生物科技有限公司.md,直接相关,16,管培生（平面设计/文案策划/视频剪辑/电子商务方向）,泰昊乐生物科技有限公司,2.5k-3k,专科及以上,招聘 5人,2026届专科及以上学历，专业不限。优先考虑以下相关专业： 设计方向：视觉传达、数字媒体艺术、平面设计等 文案方向：新闻学、广告学、汉语言文学、传播学等 视频方向：广播电视编导、影视摄影与制作、数字媒体等 电商方向：电子商务、市场营销、数据分析等,广东省广州市天河区,06-18 11:12,快速消费品（食品/饮料/日化/烟酒）,民营企业,1-49人,,1,8859f7b3d898,https://www.ncss.cn/student/jobs/UY6SjLmcJVaWUNPiFmhvSc/detail.html
17,17-新媒体运营（含短剧、短视频、广告、账号运营等）（储备）-中喜企业管理（四川）有限公司.md,直接相关,15,新媒体运营（含短剧、短视频、广告、账号运营等）（储备）,中喜企业管理（四川）有限公司,3k-12k,本科及以上,招聘 2人,中文、新闻、广告、编导、新媒体、传播学、摄影、摄像、影视后期、剪辑、动画、视觉传达、市场营销等相关专业优先,四川省成都市,07-29 19:29,专业服务（财会/法律/翻译/人力资源等）,民营企业,1-49人,,1,810baea33be5,https://www.ncss.cn/student/jobs/VSRawTWjqxUDqdG67kLtkV/detail.html
18,18-新媒体运营-成都聚海纳川科技有限公司.md,直接相关,15,新媒体运营,成都聚海纳川科技有限公司,5k-9k,专科及以上,招聘 10人,专业不限,安徽省合肥市市辖区,08-04 11:33,市场推广/运营,民营企业,50-99人,,1,8772ff4ff2ae,https://www.ncss.cn/student/jobs/QbRkBqD9ftN3SaQuhXBhf/detail.html
19,19-媒体运营专员-陕西圆梦工场科技有限公司.md,直接相关,14,媒体运营专员,陕西圆梦工场科技有限公司,4k-6k,本科及以上,招聘 3人,没有限制,全国,07-10 16:07,计算机软件,民营企业,100-499人,,1,4e0a45c80416,https://www.ncss.cn/student/jobs/Rhyp4HBt43sEpcjA7hms15/detail.html
20,20-电商运营（长白班长夜班自选）-四川省大川制衣有限责任公司.md,直接相关,14,电商运营（长白班/长夜班自选）,四川省大川制衣有限责任公司,6k-10k,专科及以上,招聘 3人,专业不限,四川省成都市武侯区,08-03 21:07,耐用消费品（服饰/纺织/皮革/家具）,民营企业,500-999人,,1,e4cc8825aa8c,https://www.ncss.cn/student/jobs/7SkxFbTBZsGVZwiPesbEw6/detail.html
21,21-市场推广-上海君武贸易有限公司.md,直接相关,14,市场推广,上海君武贸易有限公司,7k-14k,本科及以上,招聘 3人,专业不限,上海市闵行区,06-17 14:45,批发/零售,民营企业,1-49人,,1,d39cc9173e16,https://www.ncss.cn/student/jobs/HEpgm4ZdgdQjcyK5Eu72YZ/detail.html
22,22-RoiAI业务线-RoiAI获客专家—产品内容运营&商机转化-上海数花信息科技有限公司.md,直接相关,14,RoiAI 业务线-RoiAI获客专家 — 产品内容运营 & 商机转化实习生,上海数花信息科技有限公司,2k-3k,不限,招聘 21人,专业不限,上海市浦东新区,06-18 15:46,互联网/电子商务,民营企业,100-499人,,1,d21e780199af,https://www.ncss.cn/student/jobs/UkEr8oS7UYhd71VmKAso71/detail.html
23,23-电商运营专员-甘肃驼达达国际旅游有限公司.md,直接相关,14,电商运营专员,甘肃驼达达国际旅游有限公司,4k-8k,本科及以上,招聘 20人,旅游类 管理类 电子商务,甘肃省兰州市,06-15 17:03,旅游/度假,民营企业,1-49人,,1,96387be81c65,https://www.ncss.cn/student/jobs/4UnYE1QjkVDtEoPqVMLeWy/detail.html
24,24-旅游店铺运营专员-甘肃驼达达国际旅游有限公司.md,直接相关,14,旅游店铺运营专员,甘肃驼达达国际旅游有限公司,4k-8k,本科及以上,招聘 20人,旅游管理,甘肃省兰州市,06-15 17:02,旅游/度假,民营企业,1-49人,,1,d3b2b30d20cf,https://www.ncss.cn/student/jobs/6aN4QxxS9jpUXugGiKfajz/detail.html
25,25-市场营销实习生-北京比特安索信息技术有限公司.md,直接相关,14,市场营销实习生,北京比特安索信息技术有限公司,8k-15k,本科及以上,招聘 1人,市场营销 中文 广告 视觉设计 新媒体,北京市海淀区,07-08 16:55,计算机软件,民营企业,1-49人,,1,754c69764997,https://www.ncss.cn/student/jobs/JXTsLxFisbAdkigk8AMq1S/detail.html
26,26-品牌&内容策划实习生-上海宋和顾律师事务所.md,直接相关,14,品牌&内容策划实习生,上海宋和顾律师事务所,3.4k-8.6k,专科及以上,招聘 1人,专业不限,上海市闵行区,06-24 15:43,专业服务（财会/法律/翻译/人力资源等）,民营企业,1-49人,,1,4b779d7e7390,https://www.ncss.cn/student/jobs/ULGEEjcozUznPBLh3pThvF/detail.html
27,27-媒体推广专员-湖北楚尚仁脉科技服务有限公司.md,直接相关,14,媒体推广专员,湖北楚尚仁脉科技服务有限公司,3.5k-8k,专科及以上,招聘 10人,网络与新媒体 新闻学 传播学 广告学 市场营销 数字媒体技术 数字媒体艺术 中文 汉语言文学 有经验者不限专业,湖北省黄石市下陆区,07-01 10:16,专业服务（财会/法律/翻译/人力资源等）,民营企业,1-49人,,1,d53482ee3e71,https://www.ncss.cn/student/jobs/UgRJtnJFYyt6syXww8HVAR/detail.html
28,28-公司新媒体运营专员-成都市金牛区方兴教育培训学校.md,直接相关,14,公司新媒体运营专员,成都市金牛区方兴教育培训学校,4k-10k,专科及以上,招聘 2人,专业不限,四川省成都市金牛区,07-10 16:24,教育/培训/院校,民营企业,50-99人,,1,a36059dfbb62,https://www.ncss.cn/student/jobs/z1MdMBtVMxi7Yf7HBVhM1/detail.html
29,29-新媒体营销专员【带薪寒暑假】-湖北省为源教育投资有限公司.md,直接相关,13,新媒体营销专员【带薪寒暑假】,湖北省为源教育投资有限公司,5k-8k,不限,招聘 5人,网络新媒体、新闻类、广播电视编导、数字媒体技术,湖北省武汉市,07-23 14:29,教育/培训/院校,民营企业,100-499人,,1,4e3e56e8491a,https://www.ncss.cn/student/jobs/2EG9VWQP5gXasZyZi9ns7z/detail.html
30,30-市场专员（春季高考招生方向）-昆明市呈贡区实力职业培训学校有限公司.md,直接相关,13,市场专员（春季高考招生方向）,昆明市呈贡区实力职业培训学校有限公司,3.5k-10k,专科及以上,招聘 5人,专业不限,云南省昆明市,06-05 16:52,教育/培训/院校,民营企业,50-99人,,1,3fe272781562,https://www.ncss.cn/student/jobs/DxAV7SXEc5SrcBivZBsfv9/detail.html
31,31-新媒体运营实习生-天天视界（北京）科技发展有限责任公司.md,直接相关,13,新媒体运营实习生,天天视界（北京）科技发展有限责任公司,1.5k-2k,本科及以上,招聘 2人,网络与新媒体 市场营销 新闻传播 汉语言文学,全国,07-28 10:25,互联网/电子商务,民营企业,1-49人,,1,7d5132078ffc,https://www.ncss.cn/student/jobs/Uzx12dxHhG1xHh7r7eUmxV/detail.html
32,32-新媒体运营专员-北京中公教育科技有限公司陕西分公司.md,直接相关,13,新媒体运营专员,北京中公教育科技有限公司陕西分公司,4k-6k,专科及以上,招聘 4人,网络与新媒体,陕西省西安市,06-11 14:13,教育/培训/院校,上市公司,5000以上,,1,59b44a0943af,https://www.ncss.cn/student/jobs/XLNS4v6gJiLN8hyuGKRvkf/detail.html
33,33-新媒体运营-云南森顿教育咨询有限公司.md,直接相关,13,新媒体运营,云南森顿教育咨询有限公司,3.5k-6k,专科及以上,招聘 15人,计算机应用技术 学前教育 护理 大数据与会计 机电一体化技术 建筑工程技术 工商企业管理 行政管理 法律事务 药学 汽车制造与试验技术 建设工程管理 现代农业经济管理 市场营销 应用化工技术 小学教育 电子商务 城市轨道交通运营管理 旅游管理 水利水电工程智能管理 社区管理与服务 工程造价 现代通信技术 道路与桥梁工程技术 数字媒体艺术设计 应用电子接术 中文 数控技术 现代物流管理 酒店管理与数字化运营 畜牧兽医,云南省昆明市,07-01 10:12,教育/培训/院校,民营企业,1-49人,,1,f5520378fcc0,https://www.ncss.cn/student/jobs/PkmYPKYnUUSBuf1NH6WyB7/detail.html
34,34-达播商务运营专员（达人对接）-探因医学科技（浙江）有限公司.md,直接相关,13,达播商务运营专员（达人对接）,探因医学科技（浙江）有限公司,2k-3k,专科及以上,招聘 2人,不限专业,上海市闵行区,08-03 10:20,制药/生物工程,民营企业,100-499人,,1,152a08824ba2,https://www.ncss.cn/student/jobs/XbjKpVzEN2Mjc7Ps1y8kE1/detail.html
35,35-新媒体商务专员-探因医学科技（浙江）有限公司.md,直接相关,13,新媒体商务专员,探因医学科技（浙江）有限公司,3k-5k,专科及以上,招聘 3人,专业不限,上海市闵行区,08-03 10:20,制药/生物工程,民营企业,100-499人,,1,6854b423a18e,https://www.ncss.cn/student/jobs/MCUvEHS5wftMj8bPj3gaDv/detail.html
36,36-电商运营经理-阳光人寿保险股份有限公司成都电话销售中心.md,直接相关,13,电商运营经理,阳光人寿保险股份有限公司成都电话销售中心,10k-20k,本科及以上,招聘 1人,哲学 逻辑学 宗教学 伦理学 经济学 财政学 金融学 经济与贸易 金融学 金融工程 国际经济与贸易 体育学 教育学 科学教育 人文教育 教育技术学 艺术教育 学前教育 小学教育 特殊教育 华文教育 中国语言文学 外国语言文学 新闻传播学 汉语言文学 汉语言 汉语国际教育 中国少数民族语言文学 古典文献学 应用语言学 秘书学 力学 能源动力 电气 电子信息 自动化 计算机 土木 水利 测绘 农门学 医学类 不限专业,全国,07-30 10:54,投资/基金/证券/期货,股份制企业,1000人以上,,1,aa79ef6b8466,https://www.ncss.cn/student/jobs/yN16mbvhAgKjYG9q9MALq/detail.html
37,37-文案策划脚本策划（储备）-中喜企业管理（四川）有限公司.md,直接相关,12,文案策划/脚本策划（储备）,中喜企业管理（四川）有限公司,3k-12k,本科及以上,招聘 2人,中文、新闻、广告、编导、新媒体等相关专业优先,四川省成都市,07-29 19:28,专业服务（财会/法律/翻译/人力资源等）,民营企业,1-49人,,1,390fc7a2ce56,https://www.ncss.cn/student/jobs/FKBgaLEhiqfeMbnA2LyBUs/detail.html
38,38-市场营销（船舶海工管培生）-天顺海工装备（江苏）有限公司.md,直接相关,12,市场营销（船舶海工管培生）,天顺海工装备（江苏）有限公司,7k-8k,本科及以上,招聘 2人,船舶与海洋工程 海商法 轮机工程 英语 机械工程,江苏省南通市通州区,07-31 16:49,机械制造/机电/重工,民营企业,1000-4999人,,1,0fde8ab1b6a8,https://www.ncss.cn/student/jobs/WyGsuyVGPz2e6MEFLeKAMK/detail.html
39,39-TIKTOK跨境电商运营-零一时代（天津）科技有限公司.md,直接相关,12,TIKTOK跨境电商运营,零一时代（天津）科技有限公司,3k-10k,不限,招聘 3人,专业不限,天津市河东区,07-29 11:35,教育/培训/院校,民营企业,1-49人,,1,bc1eec550a87,https://www.ncss.cn/student/jobs/4VuTXtY4UC8pYpdpkuRSNj/detail.html
40,40-电商运营-山西宁飞达粮油有限公司.md,直接相关,12,电商运营,山西宁飞达粮油有限公司,3k-10k,本科及以上,招聘 10人,直播 计算机 电子商务,山西省清徐县,06-10 16:25,互联网/电子商务,民营企业,1-49人,,1,5abeeb404593,https://www.ncss.cn/student/jobs/W2BHEhcakDQoAfKajJ326K/detail.html
41,41-新媒体运营-西安观洋精密设备有限公司.md,直接相关,12,新媒体运营,西安观洋精密设备有限公司,3k-4.5k,专科及以上,招聘 2人,传媒 无固定要求,陕西省西安市雁塔区,07-13 18:07,机械制造/机电/重工,民营企业,1-49人,,1,c1f893ff02b2,https://www.ncss.cn/student/jobs/LcDdXzgEoRpMFWwsTzFKEv/detail.html
42,42-有经验的新媒体运营-杭州乾仁康养科技有限公司.md,直接相关,12,有经验的新媒体运营,杭州乾仁康养科技有限公司,6k-10k,本科及以上,招聘 1人,体育 表演 戏曲 音乐表演 艺术 设计 编导 广播电视编导 酒店管理 旅游管理 市场营销 汉语言文学 园林 建筑,浙江省杭州市市辖区,08-03 17:13,医疗/护理/卫生服务,民营企业,1-49人,,1,9e465fc58957,https://www.ncss.cn/student/jobs/8qSsjV4SmJAEKt5mtdnb5z/detail.html
43,43-电商新媒体运营（闲鱼+新媒体）-贵州锐茂知识产权有限公司.md,直接相关,12,电商新媒体运营（闲鱼 + 新媒体）,贵州锐茂知识产权有限公司,4k-8k,本科及以上,招聘 3人,电子商务 市场营销 网络推广,贵州省贵阳市南明区,07-08 10:19,专业服务（财会/法律/翻译/人力资源等）,民营企业,50-99人,,1,571089ccf8fe,https://www.ncss.cn/student/jobs/4uELizEMmCVyMVfT6g6yEM/detail.html
44,44-新媒体运营-北京有薪有果科技有限公司.md,直接相关,12,新媒体运营,北京有薪有果科技有限公司,5k-7k,专科及以上,招聘 2人,电子商务 市场营销 会展策划与管理 人力资源管理 工商管理 传媒 广告,北京市通州区,07-31 11:35,互联网/电子商务,民营企业,1-49人,,1,b76430191049,https://www.ncss.cn/student/jobs/QyhsNUNLgk1iqu2kzqz9Cy/detail.html
45,45-内容运营-伊特跑跑（上海）文化创意有限公司.md,直接相关,12,内容运营,伊特跑跑（上海）文化创意有限公司,5k-8k,不限,招聘 人数不限,专业不限,上海市闵行区,06-12 16:26,礼品/玩具/工艺美术/珠宝,民营企业,1-49人,,1,1384160ba772,https://www.ncss.cn/student/jobs/3S8wCZjbvJCXoS4UYMECnJ/detail.html
46,46-新媒体运营-杭州森活家家居有限公司.md,直接相关,12,新媒体运营,杭州森活家家居有限公司,2k-6k,本科及以上,招聘 2人,运营/市场类 → 内容运营 → 内容编辑/新媒体运营 （或）传媒类 → 内容策划 → 内容架构运营/市场类 / 传媒类师/内容策略内容运营 / 品牌公关,浙江省杭州市西湖区,07-10 16:04,家居/室内设计/装饰装潢,民营企业,1-49人,,1,37cdf39362d1,https://www.ncss.cn/student/jobs/QLWxczgX9tDbxVAR1VWEbV/detail.html
47,47-新媒体运营-上海爱丽艺术品有限公司.md,直接相关,11,新媒体运营,上海爱丽艺术品有限公司,0.1k-9k,不限,招聘 9人,新闻传播 广告学 数字媒体艺术 传播学 数字营销 新闻 网络与新媒体,全国,07-31 14:55,互联网/电子商务,民营企业,1-49人,,1,75bdc5467586,https://www.ncss.cn/student/jobs/GWiyZdr3t5YNnR1ieRqPb6/detail.html
48,48-运营专员-重庆奇幻之门文化传媒有限责任公司.md,直接相关,11,运营专员,重庆奇幻之门文化传媒有限责任公司,4k-9k,专科及以上,招聘 人数不限,数字媒体技术,重庆市南岸区,06-12 10:12,网络游戏,民营企业,1-49人,,1,e506b90ba0c2,https://www.ncss.cn/student/jobs/BNSZVYHkYPyppPwig7P3oT/detail.html
49,49-内容运营-西安观洋精密设备有限公司.md,直接相关,11,内容运营,西安观洋精密设备有限公司,3k-4.5k,专科及以上,招聘 2人,大专及以上,陕西省西安市雁塔区,07-13 18:07,机械制造/机电/重工,民营企业,1-49人,,1,55c29fe49465,https://www.ncss.cn/student/jobs/KyDPX7MdeFSZTK92zKkAcg/detail.html
50,50-京东运营助理（助残专岗）-青岛翼帆人力资源服务有限公司.md,直接相关,11,京东运营助理（助残专岗）,青岛翼帆人力资源服务有限公司,5k-7k,专科及以上,招聘 1人,不限,广东省佛山市顺德区,07-14 10:52,专业服务（财会/法律/翻译/人力资源等）,民营企业,1-49人,,1,21904a29be05,https://www.ncss.cn/student/jobs/MjfZFB4jVoZkcYUE3JF1vK/detail.html
51,51-独立站联盟营销助理-深圳市飞鸟蓝鲸数字营销有限公司.md,直接相关,11,独立站联盟营销助理,深圳市飞鸟蓝鲸数字营销有限公司,6k-10k,本科及以上,招聘 1人,专业不限,广东省深圳市龙岗区,06-29 17:29,互联网/电子商务,民营企业,1-49人,,1,78d84b8cafc3,https://www.ncss.cn/student/jobs/4djyvHXafXUhFCuDRViieY/detail.html
52,52-独立站联盟营销专员-深圳市飞鸟蓝鲸数字营销有限公司.md,直接相关,11,独立站联盟营销专员,深圳市飞鸟蓝鲸数字营销有限公司,12k-18k,本科及以上,招聘 1人,市场营销 电子商务 信息服务,广东省深圳市,06-16 10:00,互联网/电子商务,民营企业,1-49人,,1,2a786d850eb1,https://www.ncss.cn/student/jobs/CNDoQZKikWFZAUvRHga494/detail.html
53,53-跨境电商运营助理专员-浙江丝棠科技集团有限公司.md,直接相关,11,跨境电商运营助理/专员,浙江丝棠科技集团有限公司,6.5k-8k,本科及以上,招聘 5人,市场营销 电子商务 国际经济与贸易 经济学 等,浙江省绍兴市,07-01 16:27,互联网/电子商务,民营企业,500-999人,,1,03e225a65c57,https://www.ncss.cn/student/jobs/61b1GaroCX24p4wG2j2EsN/detail.html
54,54-电商运营实习专员-广东嘉富数字科技有限公司.md,直接相关,11,电商运营实习专员,广东嘉富数字科技有限公司,3k-20k,本科及以上,招聘 10人,学历专业：大专及以上学历，电子商务、市场营销、新媒体、工商管理、商务英语、数据分析等相关专业优先，应届生、有无工作经验均可，能力优秀者可放宽条件。,广东省东莞市,06-17 14:51,计算机服务（系统/数据/维护/安全）,民营企业,1-49人,,1,d18e987adde6,https://www.ncss.cn/student/jobs/P14xfG4knK9MYhxGyWqNin/detail.html
55,55-新媒体运营小红书运营-四川羽翼互动广告有限公司.md,直接相关,11,新媒体运营/小红书运营,四川羽翼互动广告有限公司,5k-9k,本科及以上,招聘 10人,新闻学 传播学 市场营销 文学 法学 计算机科学与技术 网络营销 工商管理 广播电视 表演 舞蹈 视觉 音乐,四川省成都市,07-27 14:38,互联网/电子商务,民营企业,100-499人,,1,f48da5470eac,https://www.ncss.cn/student/jobs/QBeLDjt6phbhPVV2yxRXgU/detail.html
56,56-新媒体运营-广东森宝文化实业有限公司.md,直接相关,11,新媒体运营,广东森宝文化实业有限公司,3k-4k,本科及以上,招聘 2人,中文 传媒等专业优先,广东省广州市,07-29 19:49,礼品/玩具/工艺美术/珠宝,民营企业,1000-4999人,,1,e5e74da9ef82,https://www.ncss.cn/student/jobs/21NWdwuHzVa8S7Babpyyge/detail.html
57,57-新媒体运营专员-大连沧海笑网络科技有限公司.md,直接相关,11,新媒体运营专员,大连沧海笑网络科技有限公司,3k-5k,专科及以上,招聘 3人,新媒体 广告 文学,辽宁省大连市沙河口区,07-09 13:23,网络游戏,民营企业,1-49人,,1,a1c28861e329,https://www.ncss.cn/student/jobs/5fX853tcKs2tmrmnD4SvuH/detail.html
58,58-新媒体运营销售-成都鼎信盛通网络科技有限公司.md,直接相关,11,新媒体运营销售,成都鼎信盛通网络科技有限公司,3k-8k,专科及以上,招聘 2人,不限专业 新媒体/电商运营/市场营销等专业优先录用,四川省成都市双流区,07-23 14:38,房地产/建筑/建材/工程,民营企业,100-499人,,1,305d9abab0bd,https://www.ncss.cn/student/jobs/3mXzHgrjtds1CjCuAdzS7L/detail.html
59,59-市场营销-常州图棂智能科技有限公司.md,直接相关,11,市场营销,常州图棂智能科技有限公司,3.5k-8k,专科及以上,招聘 1人,专业不限,江苏省常州市钟楼区,07-30 10:50,计算机软件,民营企业,1-49人,,1,e563f8ee8312,https://www.ncss.cn/student/jobs/LSWY7gAFYzPZj4Nkf1S3s1/detail.html
60,60-新媒体运营-益佳半导体（北京）有限公司.md,直接相关,11,新媒体运营,益佳半导体（北京）有限公司,3k-5k,本科及以上,招聘 3人,专业不限,北京市通州区,06-17 14:44,电子技术/半导体/集成电路,民营企业,1-49人,,1,00882347e205,https://www.ncss.cn/student/jobs/SxCip3rWGGhuF5dshVd5G9/detail.html
61,61-市场营销专员-上海迈迅威视觉科技有限公司.md,直接相关,11,市场营销专员,上海迈迅威视觉科技有限公司,4k-15k,专科及以上,招聘 4人,市场营销，机电，管理等，专业不限,浙江省湖州市南浔区,07-21 15:11,仪器/仪表/工业自动化/电气,民营企业,1-49人,,1,657ad636987e,https://www.ncss.cn/student/jobs/fW6vtBNegkR8hQR1Zu9V1/detail.html
62,62-平面设计内容运营美工实习生-上海康铠实业有限公司.md,直接相关,10,平面设计/内容运营/美工实习生,上海康铠实业有限公司,4k-6k,专科及以上,招聘 5人,专业不限,上海市黄浦区,07-21 15:49,医疗设备/器械,民营企业,1-49人,,1,f8f8c7794110,https://www.ncss.cn/student/jobs/A82LUaUPfYGukb1j8QGA2v/detail.html
63,63-营销支持专员-郑州中远氨纶工程技术有限公司.md,直接相关,10,营销支持专员,郑州中远氨纶工程技术有限公司,6k-8k,本科及以上,招聘 1人,市场营销 视觉传达设计 纺织科学与工程 纺织工程 纺织材料与纺织品设计 纺织化学与染整工程 服装设计与工程 服装设计 高分子材料与工程 纤维材料,河南省郑州市中原区,07-31 10:46,原材料及加工（金属/木材/橡胶/塑料/玻璃/陶瓷/建材）,民营企业,500-999人,,1,456ba5529227,https://www.ncss.cn/student/jobs/dB1EXnqt2rvePrARd9vGn/detail.html
64,64-运营经理-云南利鲁环境建设有限公司.md,直接相关,10,运营经理,云南利鲁环境建设有限公司,6k-8k,本科及以上,招聘 1人,旅游管理、酒店管理、市场营销,云南省昆明市官渡区,08-01 11:35,环保,民营企业,500-999人,,1,996f1a14963b,https://www.ncss.cn/student/jobs/KyRjhTcFRD2XYCCe57vRke/detail.html
65,65-文案策划-河北秘宝文化传媒有限公司.md,直接相关,10,文案策划,河北秘宝文化传媒有限公司,3k-6k,专科及以上,招聘 5人,汉语言文学、新闻学、广告学、中文、编导,河北省石家庄市,06-09 15:23,媒体/出版/影视/文化传播,民营企业,1-49人,,1,5d5b58d83d1f,https://www.ncss.cn/student/jobs/6XaVCJjJcLyhQpATS8Pj2G/detail.html
66,66-新媒体运营-合肥富播汇文化传媒有限公司.md,直接相关,10,新媒体运营,合肥富播汇文化传媒有限公司,5k-9k,专科及以上,招聘 10人,网络直播与运营 网络营销与直播电商 播音与主持艺术 广播电视编导 电子商务 市场营销 新媒体运营 表演 舞蹈 音乐,安徽省合肥市蜀山区,06-17 15:46,媒体/出版/影视/文化传播,民营企业,1-49人,,1,10e3ee00fc25,https://www.ncss.cn/student/jobs/MEgfPDjgf1R7VGrHAFNy5K/detail.html
